key,statute_code,law_section_code,law_section_desc,violation_type_code,violation_type,concat,count,top_level_epa_summary,top_level_usc,drilldown_epa_summary,drilldown_usc,drilldown_cfr,drilldown_fr,
CAA-112-NESHAP,CAA,112,Hazardous Air Pollutants,NESHAP,National Emission Standard For Hazardous Air Pollutant,CAA 112 Hazardous Air Pollutants NESHAP National Emission Standard For Hazardous Air Pollutant,962,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,https://www.epa.gov/compliance/national-emission-standards-hazardous-air-pollutants-compliance-monitoring,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7412,https://www.epa.gov/stationary-sources-air-pollution/national-emission-standards-hazardous-air-pollutants-neshap-9,,
RCRA-9003-LDAR,RCRA,9003,"UST Release Detection, Prevention, Correction Regulations",LDAR,UST Leak Detection And Repair,"RCRA 9003 UST Release Detection, Prevention, Correction Regulations LDAR UST Leak Detection And Repair",852,https://www.epa.gov/laws-regulations/summary-resource-conservation-and-recovery-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapI-sec6901,https://www.epa.gov/ust/release-detection-underground-storage-tanks-usts,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapIX-sec6991b,,,
SDWA-1412/1414-PWSNP,SDWA,1412/1414,National Drinking Water Regulations,PWSNP,PWS Notification To Public,SDWA 1412/1414 National Drinking Water Regulations PWSNP PWS Notification To Public,820,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,https://www.epa.gov/dwreginfo/public-notification-rule,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partB-sec300g-1,https://www.govinfo.gov/app/details/CFR-2018-title40-vol25/CFR-2018-title40-vol25-sec141-201,https://www.govinfo.gov/app/details/FR-2001-09-07/01-22522,
CWA-301/402-NOPRMT,CWA,301/402,NPDES Permit Violations,NOPRMT,"Discharge, Emission Or Activity WO Required Permit","CWA 301/402 NPDES Permit Violations NOPRMT Discharge, Emission Or Activity WO Required Permit",768,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/npdes,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1342,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part122,,
TSCA-6-PCBS-PCB,TSCA,6-PCBS,PCBS,PCB,Violation Of PCB Rules,TSCA 6-PCBS PCBS PCB Violation Of PCB Rules,721,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,https://www.epa.gov/pcbs,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2605,https://www.govinfo.gov/app/details/CFR-2018-title40-vol34/CFR-2018-title40-vol34-sec761-1,,
EPCRA-313-REP,EPCRA,313,Toxic Chemical Release Reporting (TRI),REP,Violations Of Reporting Requirements,EPCRA 313 Toxic Chemical Release Reporting (TRI) REP Violations Of Reporting Requirements,717,https://www.epa.gov/laws-regulations/summary-emergency-planning-community-right-know-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap116-subchapI-sec11001,https://www.epa.gov/toxics-release-inventory-tri-program,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap116-subchapII-sec11023,,,
TSCA-409-LEAD,TSCA,409,Lead: Violation of Section 1018,LEAD,Lead Paint Rule,TSCA 409 Lead: Violation of Section 1018 LEAD Lead Paint Rule,643,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,https://www.epa.gov/lead,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapIV-sec2688,https://www.govinfo.gov/app/details/CFR-2018-title40-vol34/CFR-2018-title40-vol34-sec745-118,,https://www.epa.gov/sites/production/files/documents/1018erpp-1207.pdf
CWA-301-UBD,CWA,301,NPDES Discharge without a Permit,UBD,Unauthorized Brine Discharge,CWA 301 NPDES Discharge without a Permit UBD Unauthorized Brine Discharge,579,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/npdes,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1341,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part122,,
CWA-301-EFF,CWA,301,NPDES Discharge without a Permit,EFF,"Effluent Limit Violations,Not Otherwise Specified","CWA 301 NPDES Discharge without a Permit EFF Effluent Limit Violations,Not Otherwise Specified",574,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,https://www.epa.gov/npdes,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1341,https://www.govinfo.gov/app/details/CFR-2018-title40-vol24/CFR-2018-title40-vol24-part122,,
RCRA-9003-UST,RCRA,9003,"UST Release Detection, Prevention, Correction Regulations",UST,"UST Requirements, Other Than LDAR","RCRA 9003 UST Release Detection, Prevention, Correction Regulations UST UST Requirements, Other Than LDAR",563,https://www.epa.gov/laws-regulations/summary-resource-conservation-and-recovery-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapI-sec6901,https://www.epa.gov/ust/release-detection-underground-storage-tanks-usts,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapIX-sec6991b,,,
SDWA-1412-PWSMR,SDWA,1412,Nat'l Drinking Water Compliance Schedule - Effective Date,PWSMR,PWS Monitoring/Reporting,SDWA 1412 Nat'l Drinking Water Compliance Schedule - Effective Date PWSMR PWS Monitoring/Reporting,558,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,https://www.epa.gov/compliance/safe-drinking-water-act-sdwa-compliance-monitoring,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partB-sec300g-1,,,
CAA-114-REP,CAA,114,"Record keeping, Inspection, Information Request",REP,Violations Of Reporting Requirements,"CAA 114 Record keeping, Inspection, Information Request REP Violations Of Reporting Requirements",514,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7414,,,
CAA-110-SIP,CAA,110,Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,SIP,"Violation Of A SIP, Not Otherwise Specified","CAA 110 Implementation Plan for National Primary and Secondary Ambient Air Quality Standards SIP Violation Of A SIP, Not Otherwise Specified",491,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,https://www.epa.gov/criteria-air-pollutants/naaqs-implementation-process,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7410,,,
EPCRA-312-REP,EPCRA,312,Emergency and Hazardous Chemical Inventory Forms,REP,Violations Of Reporting Requirements,EPCRA 312 Emergency and Hazardous Chemical Inventory Forms REP Violations Of Reporting Requirements,473,https://www.epa.gov/laws-regulations/summary-emergency-planning-community-right-know-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap116-subchapI-sec11001,,,,,
RCRA-LUST-UST,RCRA,LUST,Underground Storage Tanks Violations,UST,"UST Requirements, Other Than LDAR","RCRA LUST Underground Storage Tanks Violations UST UST Requirements, Other Than LDAR",438,https://www.epa.gov/laws-regulations/summary-resource-conservation-and-recovery-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapI-sec6901,,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapIX-sec6991,,,
SDWA-1412/1414-SWTR,SDWA,1412/1414,National Drinking Water Regulations,SWTR,Violation Of Surface Water Treatment Rule,SDWA 1412/1414 National Drinking Water Regulations SWTR Violation Of Surface Water Treatment Rule,384,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,,,,,
SDWA-1414G-PWSNP,SDWA,1414G,PWS - Violation of 1414(g) AO,PWSNP,PWS Notification To Public,SDWA 1414G PWS - Violation of 1414(g) AO PWSNP PWS Notification To Public,354,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,,,,,
TSCA-6-PCBS-GFR,TSCA,6-PCBS,PCBS,GFR,General Facility Requirements,TSCA 6-PCBS PCBS GFR General Facility Requirements,347,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
CAA-111-NSPS,CAA,111,New Source Performance Standards,NSPS,New Source Performance Standard,CAA 111 New Source Performance Standards NSPS New Source Performance Standard,321,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7411,,,
SDWA-1412/1414-PWSMCL,SDWA,1412/1414,National Drinking Water Regulations,PWSMCL,PWS Maximum Contaminant Level,SDWA 1412/1414 National Drinking Water Regulations PWSMCL PWS Maximum Contaminant Level,320,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,,,,,
RCRA-9006D-LDAR,RCRA,9006D,UST Civil Penalties,LDAR,UST Leak Detection And Repair,RCRA 9006D UST Civil Penalties LDAR UST Leak Detection And Repair,320,https://www.epa.gov/laws-regulations/summary-resource-conservation-and-recovery-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapI-sec6901,,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapIX-sec6991e,,,
CWA-301-STORM,CWA,301,NPDES Discharge without a Permit,STORM,Stormwater Overflows,CWA 301 NPDES Discharge without a Permit STORM Stormwater Overflows,309,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1311,,,
SDWA-1414G-PWSMR,SDWA,1414G,PWS - Violation of 1414(g) AO,PWSMR,PWS Monitoring/Reporting,SDWA 1414G PWS - Violation of 1414(g) AO PWSMR PWS Monitoring/Reporting,309,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,,,,,
CWA-405-SLUDGE,CWA,405,Sewage Sludge Disposal,SLUDGE,Violation Of Sludge Disposal Requirements,CWA 405 Sewage Sludge Disposal SLUDGE Violation Of Sludge Disposal Requirements,305,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1345,,,
CWA-301/402-EFF,CWA,301/402,NPDES Permit Violations,EFF,"Effluent Limit Violations,Not Otherwise Specified","CWA 301/402 NPDES Permit Violations EFF Effluent Limit Violations,Not Otherwise Specified",289,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIV-sec1342,,,
FIFRA-12A2L-NORPTG,FIFRA,12A2L,Establishment Registration,NORPTG,Failure To Report Information As Required,FIFRA 12A2L Establishment Registration NORPTG Failure To Report Information As Required,288,https://www.epa.gov/laws-regulations/summary-federal-insecticide-fungicide-and-rodenticide-act,,,,,,
SDWA-1412/1414-OTHER,SDWA,1412/1414,National Drinking Water Regulations,OTHER,Other/Miscellaneous,SDWA 1412/1414 National Drinking Water Regulations OTHER Other/Miscellaneous,287,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,,,,,
RCRA-9006D-UST,RCRA,9006D,UST Civil Penalties,UST,"UST Requirements, Other Than LDAR","RCRA 9006D UST Civil Penalties UST UST Requirements, Other Than LDAR",282,https://www.epa.gov/laws-regulations/summary-resource-conservation-and-recovery-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapI-sec6901,,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap82-subchapIX-sec6991e,,,
EPCRA-312-NORPTG,EPCRA,312,Emergency and Hazardous Chemical Inventory Forms,NORPTG,Failure To Report Information As Required,EPCRA 312 Emergency and Hazardous Chemical Inventory Forms NORPTG Failure To Report Information As Required,274,https://www.epa.gov/laws-regulations/summary-emergency-planning-community-right-know-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap116-subchapI-sec11001,,,,,
FIFRA-7C-FIFRA,FIFRA,7C,"Fed. Insect, Fung & Rod Act",FIFRA,FIFRA,"FIFRA 7C Fed. Insect, Fung & Rod Act FIFRA FIFRA",265,https://www.epa.gov/laws-regulations/summary-federal-insecticide-fungicide-and-rodenticide-act,,,,,,
CWA-301/307-PRETMT,CWA,301/307,Effluent Limitations - NPDES Toxic & Pretreatment Effluent Standards,PRETMT,Pretreatment Violation,CWA 301/307 Effluent Limitations - NPDES Toxic & Pretreatment Effluent Standards PRETMT Pretreatment Violation,264,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1317,,,
FIFRA-12-FIFRA,FIFRA,12,"Fed. Insect, Fung & Rod Act",FIFRA,FIFRA,"FIFRA 12 Fed. Insect, Fung & Rod Act FIFRA FIFRA",259,https://www.epa.gov/laws-regulations/summary-federal-insecticide-fungicide-and-rodenticide-act,,,,,,
CWA-311J-SPILL,CWA,311J,SPCC and/or Federal Response Plan Violations,SPILL,Oil Spill Violation Under CWA/OPA,CWA 311J SPCC and/or Federal Response Plan Violations SPILL Oil Spill Violation Under CWA/OPA,257,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1321,,,
CAA-211-DHS,CAA,211,Regulation of Fuels - Motor Vehicle and Engine Fuels,DHS,Diesel High Sulfur,CAA 211 Regulation of Fuels - Motor Vehicle and Engine Fuels DHS Diesel High Sulfur,256,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapII-partA-sec7545,,,
FIFRA-12A2L-REP,FIFRA,12A2L,Establishment Registration,REP,Violations Of Reporting Requirements,FIFRA 12A2L Establishment Registration REP Violations Of Reporting Requirements,252,https://www.epa.gov/laws-regulations/summary-federal-insecticide-fungicide-and-rodenticide-act,,,,,,
CERCLA-103A-RQ,CERCLA,103A,Notification of Hazardous Reportable Quantity Release,RQ,CERCLA Reportable Quantity Discharge Violation,CERCLA 103A Notification of Hazardous Reportable Quantity Release RQ CERCLA Reportable Quantity Discharge Violation,242,https://www.epa.gov/laws-regulations/summary-comprehensive-environmental-response-compensation-and-liability-act,,,,,,
TSCA-8A-REP,TSCA,8A,Failure To Comply With Preliminary Assessment Inf. Reporting & Chemical Specific Recordkeeping Rules,REP,Violations Of Reporting Requirements,TSCA 8A Failure To Comply With Preliminary Assessment Inf. Reporting & Chemical Specific Recordkeeping Rules REP Violations Of Reporting Requirements,236,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
TSCA-TSCA-PCB,TSCA,TSCA,Toxic Sub Control Act,PCB,Violation Of PCB Rules,TSCA TSCA Toxic Sub Control Act PCB Violation Of PCB Rules,225,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
CWA-301-404PMT,CWA,301,NPDES Discharge without a Permit,404PMT,Discharge Without Or In Violation Of A 404 Permit,CWA 301 NPDES Discharge without a Permit 404PMT Discharge Without Or In Violation Of A 404 Permit,223,https://www.epa.gov/enforcement/clean-water-act-cwa-and-federal-facilities,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapI-sec1251,,https://www.govinfo.gov/app/details/USCODE-2017-title33/USCODE-2017-title33-chap26-subchapIII-sec1311,,,
TSCA-409-L4N,TSCA,409,Lead: Violation of Section 1018,L4N,Lead-Based Paint,TSCA 409 Lead: Violation of Section 1018 L4N Lead-Based Paint,223,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
FIFRA-7C-REP,FIFRA,7C,"Fed. Insect, Fung & Rod Act",REP,Violations Of Reporting Requirements,"FIFRA 7C Fed. Insect, Fung & Rod Act REP Violations Of Reporting Requirements",220,https://www.epa.gov/laws-regulations/summary-federal-insecticide-fungicide-and-rodenticide-act,,,,,,
CERCLA-103A-NONOTE,CERCLA,103A,Notification of Hazardous Reportable Quantity Release,NONOTE,Failure To Notify,CERCLA 103A Notification of Hazardous Reportable Quantity Release NONOTE Failure To Notify,215,https://www.epa.gov/laws-regulations/summary-comprehensive-environmental-response-compensation-and-liability-act,,,,,,
TSCA-16-PCB,TSCA,16,Toxic Sub Control Act,PCB,Violation Of PCB Rules,TSCA 16 Toxic Sub Control Act PCB Violation Of PCB Rules,211,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
SDWA-1414C-PWSMR,SDWA,1414C,PWS - Notice to Persons Served,PWSMR,PWS Monitoring/Reporting,SDWA 1414C PWS - Notice to Persons Served PWSMR PWS Monitoring/Reporting,207,https://www.epa.gov/laws-regulations/summary-safe-drinking-water-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap6A-subchapXII-partA-sec300f,,,,,
CAA-SUBCHP6-STRAT,CAA,SUBCHP6,Clean Air Act,STRAT,Stratosperic Ozone Protection Violation,CAA SUBCHP6 Clean Air Act STRAT Stratosperic Ozone Protection Violation,198,https://www.epa.gov/laws-regulations/summary-clean-air-act,https://www.govinfo.gov/app/details/USCODE-2017-title42/USCODE-2017-title42-chap85-subchapI-partA-sec7401,,,,,
TSCA-6A-GFR,TSCA,6A,"Hazardous Chemicals, not otherwise specified",GFR,General Facility Requirements,"TSCA 6A Hazardous Chemicals, not otherwise specified GFR General Facility Requirements",191,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
TSCA-6A-ASB,TSCA,6A,"Hazardous Chemicals, not otherwise specified",ASB,Asbestos Requirement Violation (CAA),"TSCA 6A Hazardous Chemicals, not otherwise specified ASB Asbestos Requirement Violation (CAA)",191,https://www.epa.gov/laws-regulations/summary-toxic-substances-control-act,https://www.govinfo.gov/app/details/USCODE-2017-title15/USCODE-2017-title15-chap53-subchapI-sec2601,,,,,
